(726, 817) | (768, 558)
(623, 105) | (326, 604)
(825, 936) | (880, 115)
(494, 100) | (761, 361)
(675, 85) | (121, 106)
(655, 486) | (69, 898)
(611, 600) | (908, 285)
(986, 341) | (646, 109)
(383, 218) | (905, 912)
(498, 741) | (706, 843)
(59, 518) | (988, 387)
(379, 926) | (391, 771)
(977, 209) | (442, 550)
(575, 567) | (512, 497)
(34, 743) | (423, 200)
(403, 768) | (613, 613)
(223, 599) | (393, 817)
(233, 612) | (714, 86)
(426, 948) | (367, 344)
(783, 562) | (795, 90)
(406, 179) | (527, 587)
(207, 365) | (982, 303)
(969, 758) | (837, 866)
(185, 948) | (808, 568)
(437, 59) | (501, 192)
(344, 134) | (246, 187)
(119, 645) | (245, 979)
(872, 124) | (621, 591)
(583, 916) | (299, 685)
(397, 838) | (405, 75)
(234, 15) | (534, 318)
(529, 782) | (347, 287)
(866, 206) | (70, 238)
(831, 846) | (684, 991)
(365, 659) | (229, 841)
(146, 44) | (495, 935)
(36, 555) | (166, 427)
(163, 297) | (169, 681)
(335, 160) | (143, 755)
(625, 243) | (406, 620)
(964, 688) | (992, 773)
(123, 930) | (461, 206)
(484, 404) | (784, 91)
(745, 684) | (839, 531)
(430, 390) | (800, 190)
(457, 415) | (601, 866)
(601, 389) | (155, 465)
(238, 129) | (957, 3)
(520, 534) | (414, 94)
(460, 434) | (183, 362)
(903, 932) | (620, 958)
(539, 617) | (942, 412)
(158, 281) | (127, 950)
(673, 428) | (120, 959)
(89, 364) | (540, 333)
(191, 239) | (46, 404)
(269, 280) | (380, 171)
(898, 109) | (45, 974)
(143, 509) | (142, 805)
(632, 944) | (263, 844)
(247, 207) | (211, 914)
(394, 753) | (720, 502)
(996, 503) | (964, 465)
(732, 114) | (427, 946)
(886, 386) | (550, 131)
(362, 425) | (409, 994)
(443, 983) | (887, 792)
(874, 641) | (827, 129)
(950, 167) | (882, 701)
(958, 301) | (16, 313)
(702, 263) | (981, 103)
(604, 2) | (579, 708)
(674, 939) | (532, 244)
(71, 758) | (577, 364)
(734, 661) | (313, 653)
(241, 131) | (955, 53)
(202, 771) | (501, 571)
(606, 243) | (145, 804)
(224, 714) | (229, 466)
(259, 338) | (84, 376)
(943, 951) | (965, 956)
(122, 621) | (848, 215)
(49, 499) | (234, 770)
(461, 929) | (634, 141)
(394, 775) | (888, 686)
(235, 825) | (403, 24)
(841, 650) | (775, 253)
(324, 10) | (671, 929)
(37, 488) | (580, 147)
(844, 802) | (522, 642)
(4, 436) | (827, 96)
(897, 26) | (871, 660)
(162, 209) | (247, 228)
(651, 464) | (359, 146)
(173, 89) | (911, 964)
(51, 200) | (87, 84)
(579, 228) | (30, 455)
(871, 376) | (560, 473)
(192, 616) | (985, 104)
(333, 857) | (786, 521)
(306, 933) | (846, 46)
(21, 78) | (958, 1)
(389, 196) | (432, 966)
(746, 700) | (104, 205)
(840, 947) | (208, 988)
(460, 58) | (305, 139)
(545, 825) | (766, 831)
(747, 192) | (967, 396)
(666, 366) | (583, 513)
(788, 101) | (161, 284)
(521, 33) | (327, 566)
(285, 251) | (47, 333)
(507, 914) | (248, 197)
(594, 445) | (233, 412)
(809, 946) | (283, 82)
(938, 261) | (620, 105)
(580, 182) | (652, 377)
(748, 333) | (944, 135)
(975, 591) | (643, 581)
(429, 110) | (710, 941)
(308, 203) | (900, 997)
(828, 402) | (605, 829)
(928, 218) | (333, 769)
(440, 674) | (939, 423)
(406, 357) | (571, 859)
(709, 639) | (425, 59)
(564, 751) | (938, 784)
(256, 147) | (975, 367)
(428, 660) | (446, 721)
(654, 885) | (97, 142)
(589, 968) | (726, 404)
(851, 870) | (149, 424)
(51, 656) | (369, 335)
(783, 39) | (704, 100)
(755, 987) | (138, 343)
(812, 422) | (159, 901)
(879, 851) | (27, 997)
(324, 4) | (455, 533)
(714, 319) | (718, 136)
(333, 490) | (537, 710)
(840, 509) | (466, 965)
(754, 150) | (461, 32)
(934, 785) | (523, 921)
(561, 222) | (316, 292)
(465, 676) | (65, 606)
(800, 170) | (202, 893)
(317, 358) | (392, 672)
(384, 683) | (863, 402)
(30, 411) | (714, 110)
(816, 548) | (880, 380)
(718, 148) | (581, 756)
(115, 41) | (628, 516)
(37, 888) | (443, 794)
(223, 63) | (475, 492)
(990, 691) | (21, 774)
(128, 937) | (857, 457)
(940, 627) | (452, 576)
(944, 514) | (806, 297)
(984, 22) | (640, 934)
(461, 227) | (571, 424)
(266, 340) | (962, 19)
(560, 579) | (934, 811)
(494, 646) | (774, 313)
(351, 694) | (618, 759)
(969, 193) | (780, 420)
(61, 517) | (861, 912)
(199, 925) | (126, 139)
(327, 173) | (169, 360)
(663, 148) | (679, 509)
(922, 507) | (549, 907)
(887, 140) | (584, 207)
(419, 582) | (336, 826)
(936, 213) | (957, 125)
(887, 610) | (752, 269)
(49, 551) | (444, 790)
(399, 291) | (875, 930)
(909, 120) | (421, 832)
(175, 836) | (33, 57)
(114, 797) | (74, 931)
(443, 619) | (383, 735)
(892, 629) | (592, 533)
(747, 7) | (961, 361)
(197, 56) | (669, 893)
(815, 991) | (978, 584)
(729, 467) | (271, 435)
(214, 175) | (961, 221)
(267, 642) | (409, 210)
(898, 753) | (583, 761)
(771, 549) | (524, 462)
(222, 308) | (952, 400)
(552, 312) | (519, 330)
(351, 975) | (116, 357)
(512, 606) | (682, 412)
(609, 968) | (731, 307)
(108, 751) | (255, 795)
(359, 867) | (838, 448)
(48, 568) | (605, 543)
(849, 414) | (922, 72)
(485, 809) | (621, 30)
(229, 246) | (647, 580)
(785, 556) | (975, 483)
(614, 64) | (949, 684)
(318, 66) | (559, 971)
(16, 37) | (801, 940)
(11, 330) | (78, 4)
(351, 467) | (347, 209)
(784, 366) | (416, 164)
(365, 801) | (445, 504)
(276, 258) | (789, 397)
(595, 845) | (246, 786)
(682, 611) | (844, 538)
(771, 110) | (309, 705)
(834, 851) | (579, 914)
(745, 507) | (618, 353)
(622, 953) | (902, 162)
(608, 998) | (893, 748)
(42, 826) | (468, 547)
(416, 571) | (70, 697)
(606, 681) | (270, 737)
(51, 329) | (883, 882)
(994, 609) | (497, 397)
(199, 87) | (370, 733)
(42, 199) | (774, 17)
(892, 924) | (391, 190)
(642, 871) | (958, 927)
(105, 20) | (474, 880)
(343, 873) | (807, 521)
(191, 34) | (392, 727)
(988, 805) | (54, 565)
(231, 271) | (388, 218)
(839, 953) | (646, 651)
(682, 12) | (426, 914)
(125, 121) | (176, 117)
(760, 236) | (169, 917)
(71, 540) | (265, 248)
(89, 126) | (103, 94)
(196, 540) | (123, 474)
(566, 75) | (958, 371)
(51, 115) | (534, 724)
(546, 921) | (853, 898)
(653, 434) | (362, 199)
(580, 32) | (439, 433)
(542, 286) | (190, 190)
(789, 699) | (100, 631)
(693, 364) | (669, 568)
(889, 297) | (958, 750)
(616, 367) | (249, 238)
(194, 618) | (194, 337)
(345, 356) | (569, 828)
(272, 23) | (237, 827)
(52, 12) | (483, 679)
(239, 791) | (465, 577)
(776, 552) | (909, 691)
(341, 356) | (182, 498)
(191, 61) | (187, 78)
(925, 515) | (75, 569)
(705, 767) | (783, 584)
(972, 581) | (586, 657)
(280, 554) | (788, 292)
(437, 162) | (312, 667)
(124, 988) | (367, 131)
(505, 772) | (258, 791)
(409, 606) | (9, 629)
(212, 719) | (303, 711)
(990, 634) | (27, 591)
(79, 39) | (566, 999)
(192, 842) | (815, 665)
(892, 489) | (761, 332)
(474, 808) | (57, 414)
(481, 413) | (480, 735)
(895, 913) | (640, 322)
(890, 409) | (146, 945)
(83, 547) | (567, 589)
(870, 658) | (751, 145)
(879, 665) | (583, 83)
(583, 457) | (702, 684)
(74, 570) | (776, 8)
(736, 529) | (371, 794)
(915, 891) | (593, 461)
(380, 750) | (796, 317)
(171, 808) | (890, 98)
(560, 399) | (777, 329)
(243, 863) | (218, 277)
(952, 86) | (335, 675)
(454, 123) | (592, 221)
(442, 756) | (129, 730)
(583, 639) | (168, 391)
(131, 587) | (376, 345)
(264, 104) | (343, 208)
(712, 495) | (641, 264)
(389, 340) | (95, 758)
(120, 513) | (27, 584)
(421, 561) | (852, 403)
(252, 110) | (905, 590)
(676, 234) | (391, 773)
(992, 320) | (995, 928)
(837, 373) | (699, 616)
(975, 680) | (410, 574)
(504, 309) | (950, 61)
(333, 798) | (382, 893)
(368, 347) | (495, 684)
(773, 492) | (559, 957)
(880, 635) | (884, 201)
(791, 102) | (446, 587)
(392, 932) | (309, 462)
(512, 944) | (291, 46)
(210, 291) | (89, 37)
(244, 547) | (743, 778)
(649, 132) | (184, 105)
(208, 781) | (79, 785)
(65, 312) | (896, 356)
(881, 834) | (387, 7)
(189, 755) | (301, 151)
(966, 613) | (752, 931)
(21, 407) | (841, 311)
(799, 425) | (998, 430)
(399, 888) | (102, 122)
(989, 642) | (141, 860)
(679, 57) | (438, 356)
(906, 134) | (499, 433)
(779, 571) | (996, 919)
(325, 758) | (783, 811)
(621, 844) | (717, 408)
(323, 161) | (491, 495)
(30, 443) | (606, 319)
(989, 966) | (554, 64)
(349, 70) | (436, 575)
(564, 867) | (305, 982)
(962, 498) | (191, 330)
(547, 285) | (939, 215)
(960, 7) | (235, 945)
(900, 558) | (502, 392)
(734, 748) | (626, 334)
(476, 47) | (708, 632)
(647, 660) | (856, 380)
(386, 134) | (180, 672)
(922, 618) | (46, 520)
(472, 570) | (439, 319)
(548, 214) | (355, 175)
(56, 329) | (650, 210)
(929, 521) | (42, 445)
(692, 63) | (134, 98)
(718, 956) | (964, 530)
(586, 329) | (65, 494)
(702, 211) | (396, 337)
(878, 712) | (320, 884)
(137, 27) | (565, 514)
(229, 451) | (802, 42)
(878, 526) | (169, 864)
(97, 435) | (690, 738)
(530, 356) | (447, 847)
(992, 834) | (366, 404)
(221, 72) | (702, 532)
(501, 660) | (755, 613)
(117, 15) | (89, 350)
(870, 399) | (285, 770)
(87, 381) | (232, 104)
(417, 474) | (133, 37)
(40, 916) | (897, 357)
(610, 642) | (47, 210)
(848, 451) | (88, 432)
(149, 398) | (611, 133)
(956, 81) | (371, 537)
(985, 560) | (162, 203)
(373, 729) | (649, 27)
(575, 207) | (940, 138)
(464, 835) | (120, 286)
(471, 906) | (719, 913)
(834, 73) | (559, 824)
(833, 646) | (721, 21)
(235, 123) | (904, 203)
(45, 819) | (892, 180)
(103, 700) | (400, 322)
(348, 459) | (330, 998)
(849, 751) | (981, 966)
(471, 443) | (776, 404)
(935, 269) | (349, 729)
(758, 655) | (1, 312)
(386, 236) | (930, 483)
(9, 78) | (514, 350)
(471, 699) | (649, 362)
(475, 619) | (590, 748)
(421, 537) | (30, 458)
(627, 574) | (770, 176)
(108, 452) | (914, 542)
(68, 409) | (946, 370)
(874, 213) | (125, 453)
(11, 638) | (996, 394)
(777, 551) | (684, 720)
(859, 296) | (681, 835)
(547, 933) | (899, 798)
(590, 51) | (696, 7)
(669, 175) | (152, 717)
(818, 713) | (389, 98)
(108, 347) | (685, 812)
(342, 40) | (958, 191)
(155, 212) | (957, 165)
(121, 770) | (968, 504)
(982, 143) | (130, 302)
(545, 449) | (169, 730)
(146, 777) | (540, 151)
(223, 479) | (269, 663)
(423, 654) | (909, 377)
(200, 604) | (295, 137)
(416, 40) | (24, 417)
(320, 424) | (521, 622)
(473, 970) | (106, 426)
(280, 320) | (580, 176)
(631, 169) | (472, 176)
(40, 9) | (947, 172)
(520, 805) | (833, 813)
(433, 800) | (635, 883)
(888, 774) | (323, 722)
(788, 240) | (161, 660)
(983, 145) | (894, 434)
(79, 302) | (236, 480)
(739, 466) | (977, 442)
(728, 747) | (264, 465)
(764, 318) | (152, 437)
(465, 859) | (19, 357)
(244, 999) | (217, 625)
(770, 409) | (868, 847)
(533, 347) | (496, 82)
(213, 518) | (857, 139)
(858, 642) | (918, 741)
(457, 383) | (637, 779)
(862, 104) | (942, 661)
(886, 917) | (335, 760)
(998, 384) | (927, 979)
(341, 106) | (330, 951)
(684, 30) | (395, 822)
(754, 754) | (149, 752)
(98, 551) | (823, 978)
(930, 99) | (738, 883)
(119, 478) | (240, 326)
(415, 911) | (337, 779)
(484, 64) | (528, 736)
(886, 246) | (166, 99)
(488, 363) | (853, 578)
(360, 429) | (317, 57)
(492, 319) | (573, 158)
(224, 195) | (93, 589)
(465, 20) | (596, 647)
(239, 836) | (890, 670)
(380, 720) | (360, 615)
(832, 830) | (908, 858)
(20, 330) | (868, 666)
(575, 835) | (804, 789)
(317, 713) | (591, 242)
(416, 821) | (964, 397)
(828, 608) | (818, 516)
(588, 606) | (412, 33)
(207, 573) | (482, 65)
(373, 590) | (420, 675)
(985, 590) | (13, 408)
(599, 623) | (551, 94)
(9, 59) | (79, 638)
(273, 284) | (86, 84)
(20, 352) | (726, 446)
(355, 154) | (310, 155)
(154, 181) | (164, 627)
(956, 113) | (735, 736)
(440, 734) | (390, 726)
(578, 901) | (554, 767)
(59, 153) | (599, 364)
(436, 853) | (527, 911)
(530, 645) | (850, 81)
(509, 283) | (295, 690)
(798, 628) | (751, 295)
(613, 387) | (792, 73)
(407, 593) | (373, 52)
(509, 529) | (249, 370)
(165, 498) | (774, 631)
(796, 369) | (148, 309)
(932, 142) | (277, 897)
(228, 458) | (78, 569)
(550, 458) | (983, 92)
(41, 428) | (433, 994)
(856, 982) | (129, 687)
(134, 98) | (28, 262)
(926, 612) | (230, 152)
(679, 595) | (823, 240)
(122, 704) | (188, 670)
(678, 938) | (13, 197)
(968, 540) | (181, 877)
(507, 289) | (339, 825)
(247, 889) | (286, 695)
(256, 616) | (902, 329)
(12, 463) | (830, 889)
(146, 729) | (570, 914)
(557, 802) | (160, 248)
(461, 297) | (539, 619)
(851, 983) | (623, 478)
(414, 640) | (975, 608)
(745, 618) | (704, 159)
(998, 333) | (707, 684)
(375, 8) | (884, 111)
(35, 393) | (40, 453)
(557, 667) | (788, 146)
(626, 948) | (936, 187)
(87, 302) | (617, 103)
(671, 168) | (845, 110)
(541, 304) | (771, 707)
(933, 293) | (580, 104)
(648, 853) | (833, 165)
(577, 189) | (506, 770)
(651, 931) | (773, 949)
(755, 447) | (564, 854)
(771, 919) | (375, 464)
(535, 983) | (699, 605)
(258, 506) | (110, 656)
(428, 770) | (280, 205)
(699, 983) | (511, 709)
(448, 794) | (249, 636)
(814, 114) | (934, 297)
(867, 46) | (477, 6)
(761, 100) | (914, 649)
(916, 567) | (863, 733)
(698, 826) | (634, 545)
(519, 621) | (113, 971)
(980, 132) | (535, 240)
(165, 693) | (292, 236)
(241, 798) | (368, 414)
(276, 81) | (349, 665)
(406, 323) | (887, 816)
(163, 790) | (258, 494)
(299, 676) | (231, 852)
(978, 462) | (878, 386)
(293, 105) | (900, 287)
(71, 315) | (533, 127)
(124, 349) | (207, 221)
(991, 747) | (130, 73)
(596, 423) | (513, 279)
(531, 21) | (20, 529)
(171, 876) | (95, 497)
(762, 173) | (842, 217)
(864, 757) | (390, 721)
(230, 221) | (989, 856)
(248, 792) | (628, 397)
(994, 594) | (825, 824)
(64, 495) | (323, 775)
(202, 380) | (694, 294)
(746, 810) | (626, 463)
(393, 314) | (187, 822)
(726, 366) | (577, 29)
(394, 40) | (707, 194)
(234, 454) | (910, 47)
(578, 954) | (378, 699)
(188, 531) | (295, 523)
(10, 242) | (247, 692)
(366, 174) | (158, 560)
(222, 553) | (153, 727)
(392, 347) | (659, 875)
(254, 27) | (715, 792)
(839, 870) | (609, 971)
(652, 541) | (404, 965)
(153, 18) | (55, 4)
(633, 460) | (302, 450)
(77, 135) | (997, 952)
(229, 574) | (333, 467)
(765, 250) | (370, 736)
(441, 427) | (666, 178)
(240, 251) | (549, 619)
(389, 389) | (739, 525)
(419, 700) | (103, 381)
(149, 686) | (296, 26)
(727, 896) | (385, 613)
(418, 899) | (412, 770)
(475, 610) | (414, 951)
(290, 240) | (355, 320)
(585, 60) | (691, 559)
(931, 214) | (13, 321)
(995, 775) | (380, 35)
(638, 648) | (987, 914)
(693, 197) | (608, 963)
(873, 407) | (578, 11)
(14, 858) | (870, 375)
(176, 155) | (718, 152)
(952, 255) | (133, 359)
(387, 671) | (154, 565)
(429, 967) | (478, 15)
(685, 984) | (747, 432)
(125, 263) | (809, 489)
(407, 541) | (241, 305)
(865, 514) | (725, 908)
(795, 449) | (992, 40)
(21, 161) | (707, 235)
(555, 520) | (234, 883)
(861, 897) | (931, 401)
(591, 125) | (956, 997)
(759, 777) | (361, 390)
(257, 86) | (317, 937)
(46, 173) | (75, 268)
(248, 981) | (280, 306)
(426, 394) | (291, 667)
(914, 23) | (12, 774)
(612, 165) | (884, 660)
(103, 923) | (429, 353)
(250, 323) | (375, 466)
(653, 453) | (730, 634)
(283, 589) | (638, 495)
(567, 271) | (697, 385)
(607, 587) | (355, 132)
(297, 73) | (38, 305)
(447, 449) | (273, 842)
(959, 977) | (201, 641)
(510, 607) | (900, 983)
(288, 864) | (667, 790)
(813, 522) | (250, 606)
(205, 977) | (172, 513)
(173, 724) | (151, 676)
(384, 965) | (209, 317)
(224, 314) | (287, 952)
(458, 656) | (590, 109)
(772, 354) | (640, 309)
(866, 996) | (559, 326)
(934, 612) | (439, 988)
(955, 497) | (900, 653)
(605, 253) | (959, 618)
(984, 64) | (695, 552)
(38, 76) | (528, 807)
(38, 897) | (503, 226)
(114, 469) | (250, 696)
(698, 119) | (970, 616)
(441, 249) | (941, 168)
(366, 383) | (708, 367)
(365, 148) | (48, 276)
(521, 380) | (235, 554)
(142, 288) | (910, 164)
(101, 422) | (372, 344)
(683, 870) | (555, 756)
(697, 746) | (518, 918)
(485, 423) | (504, 485)
(950, 886) | (744, 355)
(836, 203) | (529, 923)
(959, 22) | (781, 846)
(930, 764) | (520, 599)
(70, 223) | (955, 903)
(457, 329) | (845, 501)
(106, 774) | (480, 987)
(225, 638) | (830, 759)
(803, 351) | (30, 987)
(99, 933) | (523, 99)
(204, 910) | (628, 302)
(899, 430) | (844, 862)
(277, 82) | (264, 645)
(601, 522) | (61, 995)
(450, 470) | (44, 43)
(134, 8) | (133, 829)
(682, 923) | (249, 566)
(486, 940) | (858, 947)
(538, 453) | (255, 483)
(590, 209) | (665, 585)
(221, 857) | (28, 857)
(950, 448) | (297, 216)
(791, 36) | (662, 935)
(185, 503) | (760, 839)
(732, 651) | (511, 13)
(383, 98) | (73, 329)
(99, 628) | (212, 373)
(906, 323) | (490, 500)
(458, 655) | (699, 360)
(160, 381) | (354, 79)
(974, 937) | (209, 721)
(682, 462) | (690, 660)
(94, 811) | (506, 498)
(459, 232) | (959, 49)
(876, 24) | (696, 724)
(649, 20) | (503, 135)
(54, 185) | (490, 624)
(771, 797) | (818, 818)
(842, 662) | (448, 173)
(118, 926) | (383, 624)
(169, 958) | (293, 726)
(378, 959) | (414, 447)
(691, 834) | (414, 731)
(765, 58) | (756, 108)
(675, 430) | (340, 681)
(935, 46) | (786, 2)
(176, 396) | (219, 699)
(480, 387) | (649, 626)
(53, 62) | (77, 786)
(416, 769) | (942, 941)
(409, 10) | (379, 554)
(971, 764) | (617, 449)
(288, 816) | (994, 616)
(823, 50) | (571, 552)
(783, 150) | (835, 251)
(365, 234) | (624, 206)
(406, 925) | (591, 417)
(171, 603) | (130, 591)
(540, 799) | (639, 313)
(442, 857) | (381, 984)
(396, 720) | (179, 945)
(861, 83) | (526, 523)
(39, 406) | (394, 477)
(265, 193) | (651, 442)
(33, 53) | (116, 902)
(91, 421) | (155, 945)
(915, 226) | (519, 432)
(867, 17) | (589, 435)
(328, 965) | (477, 355)
(995, 953) | (10, 393)
(583, 959) | (320, 92)
(50, 94) | (384, 459)
(507, 832) | (463, 235)
(197, 597) | (778, 402)
(957, 735) | (700, 576)
(926, 523) | (314, 486)
(97, 776) | (585, 798)
(329, 869) | (404, 322)
(116, 760) | (379, 315)
(254, 181) | (384, 522)
(91, 473) | (144, 317)
(841, 21) | (983, 692)
(110, 398) | (212, 598)
(394, 635) | (887, 812)
(688, 611) | (327, 998)
(386, 575) | (641, 888)
(37, 12) | (336, 366)
(904, 423) | (622, 580)
(103, 656) | (107, 678)
(809, 278) | (13, 953)
(711, 842) | (788, 315)
(158, 221) | (690, 300)
(370, 28) | (154, 61)
(568, 108) | (405, 529)
(562, 707) | (447, 141)
(899, 84) | (384, 414)
(39, 589) | (117, 59)
(108, 802) | (95, 45)
(347, 748) | (370, 974)
(517, 182) | (947, 212)
(117, 17) | (142, 261)
(678, 955) | (372, 515)
(921, 509) | (685, 420)
(482, 517) | (398, 346)
(60, 924) | (698, 863)
(691, 826) | (835, 517)
(843, 847) | (402, 617)
(728, 831) | (727, 51)
(835, 97) | (760, 854)
(201, 770) | (223, 811)
(779, 814) | (58, 899)
(484, 405) | (567, 280)
(691, 865) | (151, 45)
(604, 9) | (872, 822)
(713, 837) | (97, 599)
(184, 33) | (646, 926)
(296, 829) | (7, 532)
(310, 556) | (520, 185)
(87, 156) | (153, 259)
(604, 957) | (786, 258)
(99, 884) | (89, 395)
(928, 765) | (29, 598)
(956, 72) | (442, 225)
(281, 528) | (673, 232)
(19, 924) | (825, 454)
(559, 915) | (460, 975)
(836, 488) | (407, 365)
(750, 379) | (445, 314)
(314, 867) | (372, 928)
(719, 474) | (443, 149)
(146, 937) | (639, 759)
(14, 306) | (272, 275)
(753, 654) | (622, 690)
(435, 453) | (62, 984)
(311, 631) | (539, 288)
(956, 688) | (656, 696)
(496, 990) | (714, 847)
(387, 39) | (472, 348)
(550, 30) | (770, 500)
(649, 162) | (231, 74)
(59, 725) | (50, 489)
(369, 57) | (435, 256)
(229, 587) | (153, 390)
(94, 962) | (456, 817)
(13, 456) | (974, 276)
(135, 423) | (542, 680)
(621, 897) | (720, 765)
(287, 294) | (836, 57)
(228, 260) | (564, 564)
(578, 241) | (986, 824)
(732, 93) | (11, 376)
(172, 548) | (798, 577)
(946, 329) | (984, 337)
(390, 955) | (186, 849)
(494, 570) | (443, 57)
(588, 797) | (421, 857)
(109, 910) | (172, 65)
(328, 650) | (491, 865)
(502, 242) | (710, 542)
(677, 883) | (44, 223)
(329, 115) | (447, 250)
(279, 89) | (296, 98)
(273, 325) | (70, 463)
(296, 629) | (952, 791)
(838, 46) | (363, 898)
(843, 885) | (29, 620)
(276, 78) | (662, 520)
(355, 404) | (13, 91)
(452, 214) | (362, 645)
(599, 537) | (561, 587)
(608, 380) | (908, 147)
(591, 652) | (588, 300)
(736, 775) | (43, 424)
(848, 747) | (776, 254)
(787, 198) | (957, 775)
(210, 689) | (666, 719)
(620, 209) | (150, 668)
(521, 153) | (27, 918)
(211, 175) | (101, 411)
(167, 355) | (933, 941)
(386, 815) | (631, 389)
(777, 18) | (863, 835)
(1, 180) | (248, 159)
(940, 868) | (289, 806)
(100, 799) | (950, 3)
(274, 679) | (849, 93)
(986, 133) | (63, 528)
(289, 375) | (372, 873)
(416, 9) | (622, 639)
(767, 580) | (251, 785)
(548, 774) | (465, 306)
(378, 908) | (896, 563)
(232, 412) | (726, 398)
(475, 227) | (389, 391)
(935, 634) | (678, 359)
(434, 202) | (843, 772)
(426, 983) | (813, 247)
(663, 852) | (836, 24)
(764, 370) | (62, 62)
(901, 158) | (188, 920)
(446, 19) | (583, 194)
(755, 459) | (432, 359)
(377, 228) | (731, 887)
(707, 911) | (226, 90)
(641, 372) | (891, 781)
(181, 506) | (613, 884)
(918, 470) | (723, 867)
(157, 406) | (398, 527)
(332, 14) | (430, 453)
(702, 357) | (424, 628)
(79, 974) | (589, 609)
(922, 492) | (426, 255)
(11, 840) | (643, 278)
(558, 115) | (687, 808)
(393, 727) | (293, 155)
(53, 291) | (917, 966)
(360, 547) | (228, 931)
(657, 78) | (46, 172)
(815, 425) | (424, 236)
(70, 270) | (525, 732)
(173, 768) | (310, 981)
(341, 45) | (52, 350)
(960, 626) | (509, 494)
(811, 222) | (285, 920)
(21, 817) | (221, 480)
(769, 628) | (332, 777)
(883, 675) | (875, 367)
(928, 575) | (119, 153)
(166, 252) | (429, 553)
(458, 860) | (149, 533)
(54, 183) | (867, 672)
(497, 445) | (391, 887)
(249, 982) | (543, 776)
(401, 616) | (707, 337)
(409, 330) | (715, 490)
(249, 787) | (884, 219)
(577, 257) | (963, 642)
(603, 278) | (652, 555)
(842, 681) | (309, 827)
(582, 716) | (571, 361)
(761, 7) | (536, 420)
(989, 31) | (997, 452)
(357, 759) | (960, 232)
(854, 853) | (27, 736)
(662, 421) | (655, 920)
(520, 216) | (993, 683)
(939, 184) | (639, 839)
(980, 391) | (482, 14)
(4, 351) | (983, 236)
(255, 25) | (359, 309)
(158, 69) | (394, 730)
(302, 674) | (878, 312)
(696, 16) | (288, 754)
(745, 649) | (950, 282)
(285, 285) | (709, 583)
(290, 631) | (426, 421)
(878, 250) | (460, 498)
(495, 691) | (59, 433)
(122, 501) | (269, 102)
(267, 875) | (152, 109)
(275, 718) | (246, 24)
(124, 275) | (334, 790)
(798, 247) | (937, 155)
(228, 851) | (745, 219)
(587, 189) | (68, 317)
(345, 770) | (805, 813)
(550, 471) | (669, 398)
(157, 331) | (625, 762)
(172, 112) | (88, 926)
(901, 56) | (258, 319)
(593, 807) | (121, 528)
(701, 984) | (24, 944)
(557, 829) | (542, 480)
(302, 824) | (885, 751)
(718, 419) | (889, 211)
(735, 232) | (36, 834)
(144, 628) | (885, 520)
(293, 228) | (508, 771)
(52, 421) | (993, 127)
(949, 842) | (662, 79)
(216, 490) | (73, 855)
(281, 722) | (26, 40)
(245, 782) | (763, 566)
(535, 946) | (49, 837)
(174, 608) | (216, 424)
(840, 66) | (818, 858)
(246, 437) | (19, 135)
(26, 12) | (85, 560)
(848, 383) | (385, 744)
(978, 378) | (331, 582)
(158, 857) | (836, 64)
(615, 386) | (478, 193)
(899, 400) | (456, 401)
(406, 613) | (726, 980)
(576, 97) | (522, 955)
(240, 664) | (755, 418)
(812, 961) | (813, 814)
(756, 655) | (63, 365)
(408, 577) | (566, 183)
(873, 177) | (282, 334)
(748, 659) | (506, 552)
(265, 481) | (422, 822)
(335, 592) | (668, 231)
(440, 212) | (252, 379)
(360, 58) | (488, 687)
(352, 479) | (474, 711)
(989, 205) | (702, 407)
(721, 585) | (988, 716)
(400, 643) | (952, 361)
(850, 369) | (112, 203)
(168, 577) | (936, 621)
(376, 624) | (526, 382)
(218, 33) | (113, 887)
(315, 643) | (209, 904)
(848, 990) | (585, 199)
(175, 787) | (13, 807)
(428, 101) | (115, 878)
(59, 19) | (402, 933)
(164, 962) | (712, 149)
(687, 263) | (290, 36)
(525, 177) | (763, 828)
(7, 411) | (793, 590)
(848, 436) | (303, 983)
(499, 915) | (847, 724)
(984, 26) | (898, 464)
(233, 393) | (328, 635)
(461, 230) | (810, 948)
(68, 573) | (502, 155)
(246, 703) | (417, 21)
(632, 801) | (142, 865)
(555, 542) | (291, 817)
(230, 214) | (84, 140)
(459, 550) | (989, 115)
(395, 830) | (725, 447)
(559, 212) | (856, 471)
(22, 595) | (386, 628)
(442, 250) | (216, 435)
(369, 107) | (181, 800)
(867, 518) | (145, 680)
(457, 108) | (325, 873)
(211, 758) | (211, 532)
(231, 830) | (157, 605)
(246, 960) | (904, 638)
(237, 758) | (649, 871)
(407, 341) | (125, 372)
(60, 568) | (991, 70)
(876, 836) | (988, 253)
(109, 819) | (30, 213)
(497, 340) | (154, 726)
(802, 859) | (659, 870)
(416, 177) | (737, 738)
(124, 984) | (189, 917)
(640, 669) | (906, 615)
(257, 847) | (931, 491)
(13, 150) | (711, 211)
(73, 958) | (715, 739)
(772, 371) | (58, 788)
(312, 579) | (299, 811)
(870, 188) | (597, 307)
(174, 925) | (604, 853)
(627, 901) | (347, 648)
(295, 468) | (758, 278)
(585, 202) | (64, 255)
(114, 766) | (345, 17)
(654, 918) | (646, 446)
(119, 833) | (734, 216)
(110, 222) | (346, 705)
